,fast_ma,slow_ma,profit,end_capital,number_of_trades
916,59,74,-0.08509999999999995,9149,16
843,58,73,-0.08520000000000005,9148,14
885,28,74,-0.08609999999999995,9139,14
751,37,72,-0.08609999999999995,9139,14
1261,29,79,-0.08640000000000003,9136,16
547,40,69,-0.08660000000000001,9134,14
13,14,61,-0.0867,9133,16
404,30,67,-0.0867,9133,14
682,38,71,-0.08689999999999998,9131,14
932,2,75,-0.08709999999999996,9129,28
1006,2,76,-0.08709999999999996,9129,28
403,29,67,-0.0877,9123,14
702,58,71,-0.08779999999999999,9122,16
286,41,65,-0.08789999999999998,9121,14
1120,41,77,-0.08819999999999995,9118,16
356,47,66,-0.08819999999999995,9118,14
1329,19,80,-0.08819999999999995,9118,14
680,36,71,-0.08830000000000005,9117,14
518,11,69,-0.08840000000000003,9116,16
546,39,69,-0.08840000000000003,9116,14
651,7,71,-0.08850000000000002,9115,22
1219,64,78,-0.08850000000000002,9115,16
1348,38,80,-0.08860000000000001,9114,14
417,43,67,-0.08860000000000001,9114,14
925,68,74,-0.08899999999999997,9110,20
321,12,66,-0.08919999999999995,9108,16
998,68,75,-0.08950000000000002,9105,20
370,61,66,-0.08950000000000002,9105,24
341,32,66,-0.0897,9103,14
1195,40,78,-0.0897,9103,14
1136,57,77,-0.08989999999999998,9101,14
1263,31,79,-0.08989999999999998,9101,16
405,31,67,-0.09040000000000004,9096,14
229,47,64,-0.09050000000000002,9095,14
1326,16,80,-0.0907,9093,16
604,29,70,-0.0907,9093,14
586,11,70,-0.09079999999999999,9092,16
794,9,73,-0.09099999999999997,9090,20
159,39,63,-0.09099999999999997,9090,16
470,30,68,-0.09109999999999996,9089,14
923,66,74,-0.09109999999999996,9089,16
1254,22,79,-0.09109999999999996,9089,14
567,60,69,-0.09119999999999995,9088,16
1008,4,76,-0.09130000000000005,9087,26
743,29,72,-0.09130000000000005,9087,14
973,43,75,-0.09140000000000004,9086,14
820,35,73,-0.09150000000000003,9085,14
536,29,69,-0.0917,9083,14
633,58,70,-0.09179999999999999,9082,16
